tenth_percent,twelfth_percent,degree,cgpa,internships,projects,backlogs,communication_skill,extra_curricular,interest,placed,package_lpa
79.97,87.48,B.Tech,8.23,1,4,1,7,0,Machine Learning,1,7.92
73.62,69.49,B.Tech,8.26,0,0,0,6,1,Web Development,1,8.1
81.48,82.25,BCA,7.67,1,1,0,6,0,Data Science,1,8.97
90.23,86.53,B.Tech,8.2,0,1,0,9,1,Networking,1,6.48
72.66,69.18,B.Tech,6.71,2,3,0,8,0,Core/Mechanical,1,10.02
72.66,70.19,B.Tech,6.38,0,0,0,4,0,Testing,0,0.0
90.79,92.57,B.Tech,9.27,0,0,0,5,0,Machine Learning,1,6.85
82.67,78.84,B.Sc,9.38,1,3,0,5,0,Machine Learning,1,9.5
70.31,80.36,B.Tech,7.79,2,2,0,6,0,Web Development,1,8.11
80.43,73.27,B.Sc,7.48,0,2,1,5,0,Networking,0,0.0
70.37,68.88,BCA,6.73,0,0,0,7,0,Web Development,0,0.0
70.34,66.82,B.Tech,5.61,3,2,0,8,0,Testing,0,0.0
77.42,89.0,B.Tech,9.03,0,1,0,8,0,Data Science,1,7.95
55.87,57.44,B.Tech,5.6,3,2,1,6,0,Data Science,0,0.0
57.75,66.0,B.Tech,6.04,2,3,0,4,0,Data Science,0,0.0
69.38,57.5,BCA,8.9,1,1,1,5,1,Machine Learning,0,0.0
64.87,67.01,BCA,6.83,1,5,0,6,1,Networking,1,6.59
78.14,85.26,BCA,7.57,2,1,1,4,1,Web Development,0,0.0
65.92,66.58,B.Tech,6.28,1,2,0,9,0,Web Development,0,0.0
60.88,69.4,B.Sc,7.43,2,2,0,4,1,Testing,0,0.0
89.66,85.52,B.Sc,8.85,0,1,0,8,1,Data Science,1,8.76
72.74,84.01,B.Sc,6.69,1,3,0,3,1,Networking,0,0.0
75.68,94.07,B.Sc,9.22,2,1,1,8,0,Networking,1,8.91
60.75,57.85,B.Sc,5.4,0,1,1,6,1,Testing,0,0.0
69.56,66.0,B.Sc,8.28,1,1,0,9,1,Core/Mechanical,1,8.45
76.11,87.74,BCA,9.06,0,1,0,4,1,Networking,0,0.0
63.49,76.13,B.Tech,6.62,2,4,0,5,0,Networking,0,0.0
78.76,74.58,BCA,8.69,0,0,2,6,0,Web Development,0,0.0
68.99,65.63,B.Tech,6.79,1,1,1,6,0,Testing,0,0.0
72.08,69.83,B.Tech,7.78,0,1,1,6,0,Networking,0,0.0
68.98,58.22,MCA,6.75,2,1,0,6,1,Networking,0,0.0
93.52,86.17,MCA,8.31,0,1,1,6,0,Web Development,0,0.0
74.87,66.84,B.Tech,6.57,0,1,0,3,0,Networking,0,0.0
64.42,58.28,B.Tech,6.96,0,0,0,8,0,Web Development,0,0.0
83.23,82.95,B.Tech,8.04,0,3,0,10,0,Core/Mechanical,1,10.07
62.79,64.66,B.Sc,6.05,0,0,0,7,0,Machine Learning,0,0.0
77.09,89.49,M.Tech,7.56,2,3,1,4,1,Web Development,1,8.35
55.4,47.41,MCA,5.48,1,1,0,5,1,Web Development,0,0.0
61.72,69.59,BCA,8.22,5,6,1,8,0,Networking,1,12.71
76.97,75.26,B.Tech,6.76,0,1,0,7,0,Web Development,0,0.0
82.38,81.98,BCA,8.24,3,2,1,6,0,Testing,1,8.5
76.71,82.11,B.Tech,9.07,0,1,0,8,0,Data Science,1,7.5
